productType,variantId,sku,prices,tax,categories,images,name.en,name.jp,description.en,description.jp,slug.en,slug.jp,metaTitle.en,metaTitle.jp,metaDescription.en,metaDescription.jp,metaKeywords.en,metaKeywords.jp,name.de,description.de,slug.de,metaTitle.de,metaDescription.de,metaKeywords.de,name.it,description.it,slug.it,metaTitle.it,metaDescription.it,metaKeywords.it,creationDate,articleNumberManufacturer,articleNumberMax,matrixId,baseId,designer,madeInItaly,completeTheLook,commonSize,size,color,colorFreeDefinition.en,colorFreeDefinition.jp,details.en,details.jp,colorFreeDefinition.de,details.de,colorFreeDefinition.it,details.it,style,gender,season,isOnStock,isLook,lookProducts,seasonNew
main,1,A0E2000000021S0,EUR 25625;EUR 16803 b2b;USD 25625;USD 16803 b2b;DE-EUR 20500;IT-EUR 20500;GB-EUR 20500;DE-EUR 19270#sunrise-store-berlin;EUR 24344#sunrise-store-vienna;DE-EUR 21935#sunrise-store-munich;DE-EUR 19475#sunrise-store-cologne;DE-EUR 19270#sunrise-store-hamburg;US-USD 19270#sunrise-store-boston-2;USD 24344#sunrise-store-chicago;US-USD 21935#sunrise-store-boston-1;US-USD 19475#sunrise-store-sanfrancisco;US-USD 19270#sunrise-store-newyork,standard,Sale>Women;Women>Bags>Handbag,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079310_1_large.jpg,Handbag Moschino Love white,ハンドバッグモスキーノラブホワイト,,,moschino-love-handbag-JC4235PP0XXJ0100-white,moschino-love-handbag-JC4235PP0XXJ0100-white,,,,,,,Handtasche Moschino Love weiß,,moschino-love-handtasche-JC4235PP0XXJ0100-weiss,,,,,,,,,,,JC4235PP0XXJ0100 BIANCO,79310,A0E2000000021S0,79310,moschinolove,no,,oneSize,one size,white,white,白い,,,weiß,,,,sporty,women,s15,,,,
main,1,M0E20000000E1AZ,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11280#sunrise-store-berlin;EUR 14250#sunrise-store-vienna;DE-EUR 12480#sunrise-store-munich;DE-EUR 11880#sunrise-store-cologne;DE-EUR 12480#sunrise-store-hamburg;US-USD 11280#sunrise-store-boston-2;USD 14250#sunrise-store-chicago;US-USD 12480#sunrise-store-boston-1;US-USD 11880#sunrise-store-sanfrancisco;US-USD 12480#sunrise-store-newyork,standard,Sale>Men>Shoes;Men>Shoes>Sneakers,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,Sneakers New Balance multi,スニーカーニューバランスマルチ,,,newbalance-sneakers-MT980BB-multi,newbalance-sneakers-MT980BB-multi,,,,,,,Sneakers New Balance multi,,newbalance-sneakers-MT980BB-multi,,,,,,,,,,,MT980 BB,79560,M0E20000000E1AZ,79560,newbalance,no,,39,5,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,2,M0E20000000E1B0,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 10800#sunrise-store-berlin;EUR 16050#sunrise-store-vienna;DE-EUR 10800#sunrise-store-munich;DE-EUR 13200#sunrise-store-cologne;DE-EUR 13200#sunrise-store-hamburg;US-USD 10800#sunrise-store-boston-2;USD 16050#sunrise-store-chicago;US-USD 10800#sunrise-store-boston-1;US-USD 13200#sunrise-store-sanfrancisco;US-USD 13200#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B0,79560,newbalance,no,,39.5,5.5,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,3,M0E20000000E1B1,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11520#sunrise-store-berlin;EUR 16200#sunrise-store-vienna;DE-EUR 11520#sunrise-store-munich;DE-EUR 10920#sunrise-store-cologne;DE-EUR 11520#sunrise-store-hamburg;US-USD 11520#sunrise-store-boston-2;USD 16200#sunrise-store-chicago;US-USD 11520#sunrise-store-boston-1;US-USD 10920#sunrise-store-sanfrancisco;US-USD 11520#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B1,79560,newbalance,no,,40,6,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,4,M0E20000000E1B2,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11760#sunrise-store-berlin;EUR 14100#sunrise-store-vienna;DE-EUR 12960#sunrise-store-munich;DE-EUR 11640#sunrise-store-cologne;DE-EUR 12960#sunrise-store-hamburg;US-USD 11760#sunrise-store-boston-2;USD 14100#sunrise-store-chicago;US-USD 12960#sunrise-store-boston-1;US-USD 11640#sunrise-store-sanfrancisco;US-USD 12960#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B2,79560,newbalance,no,,40.5,6.5,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,5,M0E20000000E1B3,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12480#sunrise-store-berlin;EUR 15900#sunrise-store-vienna;DE-EUR 11160#sunrise-store-munich;DE-EUR 13080#sunrise-store-cologne;DE-EUR 11160#sunrise-store-hamburg;US-USD 12480#sunrise-store-boston-2;USD 15900#sunrise-store-chicago;US-USD 11160#sunrise-store-boston-1;US-USD 13080#sunrise-store-sanfrancisco;US-USD 11160#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B3,79560,newbalance,no,,41,7,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,6,M0E20000000E1B4,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 11400#sunrise-store-berlin;EUR 13650#sunrise-store-vienna;DE-EUR 11400#sunrise-store-munich;DE-EUR 11280#sunrise-store-cologne;DE-EUR 11400#sunrise-store-hamburg;US-USD 11400#sunrise-store-boston-2;USD 13650#sunrise-store-chicago;US-USD 11400#sunrise-store-boston-1;US-USD 11280#sunrise-store-sanfrancisco;US-USD 11400#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B4,79560,newbalance,no,,41.5,7.5,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,7,M0E20000000E1B5,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12240#sunrise-store-berlin;EUR 13950#sunrise-store-vienna;DE-EUR 12120#sunrise-store-munich;DE-EUR 11520#sunrise-store-cologne;DE-EUR 12120#sunrise-store-hamburg;US-USD 12240#sunrise-store-boston-2;USD 13950#sunrise-store-chicago;US-USD 12120#sunrise-store-boston-1;US-USD 11520#sunrise-store-sanfrancisco;US-USD 12120#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B5,79560,newbalance,no,,42,8,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,,,,
,8,M0E20000000E1B6,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 12360#sunrise-store-berlin;EUR 14850#sunrise-store-vienna;DE-EUR 11040#sunrise-store-munich;DE-EUR 12240#sunrise-store-cologne;DE-EUR 11040#sunrise-store-hamburg;US-USD 12360#sunrise-store-boston-2;USD 14850#sunrise-store-chicago;US-USD 11040#sunrise-store-boston-1;US-USD 12240#sunrise-store-sanfrancisco;US-USD 11040#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B6,79560,newbalance,no,,42.5,8.5,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,TRUE,,,
,9,M0E20000000E1B7,EUR 15000;EUR 9836 b2b;USD 15000;USD 9836 b2b;DE-EUR 12000;IT-EUR 12000;GB-EUR 12000;DE-EUR 13080#sunrise-store-berlin;EUR 13500#sunrise-store-vienna;DE-EUR 11880#sunrise-store-munich;DE-EUR 11160#sunrise-store-cologne;DE-EUR 11760#sunrise-store-hamburg;US-USD 13080#sunrise-store-boston-2;USD 13500#sunrise-store-chicago;US-USD 11880#sunrise-store-boston-1;US-USD 11160#sunrise-store-sanfrancisco;US-USD 11760#sunrise-store-newyork,,,https://s3-eu-west-1.amazonaws.com/commercetools-maximilian/products/079560_1_large.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,MT980 BB,79560,M0E20000000E1B7,79560,newbalance,no,,43,9,multicolored,multi,マルチ,,,multi,,,,sporty,men,s15,TRUE,,,
